,id,name,year_published,min_players,max_players,primary_publisher,mechanics,num_user_ratings,average_user_rating,rank,num_mechs
0,oGVgRSAKwX,Carcassonne,2000,2.0,5.0,Hans im Glück,"['Tile Placement', 'Worker Placement']",548,3.436131386861317,14,2
1,d7vHFjxM6M,Blokus,2000,2.0,4.0,Mattel Games,"['Area Enclosure', 'Hand Management', 'Tile Placement']",162,3.0555555555555536,221,3
2,uw69CrJFCL,Citadels: Classic,2000,2.0,8.0,Hans im Glück,"['Bluffing', 'Engine Building', 'Social Deduction', 'Variable Player Powers']",133,3.30827067669173,228,4
4,JyMsRC64I4,Go,2000,2.0,2.0,John N. Hansen Co.,['Area Enclosure'],82,3.329268292682928,375,1
6,YD2fbRwJdz,Princes of Florence,2000,2.0,5.0,Rio Grande Games,['Tile Placement'],64,3.253385416666667,487,1
7,6DNpI5e8Bd,Taj Mahal,2000,2.0,5.0,Z-Man Games,"['Auction', 'Card Drafting', 'Hand Management', 'Set Collection', 'Network and Route Building']",35,3.3142857142857145,798,5
8,VNDvLYnE5o,Chrononauts,2000,1.0,6.0,Looney Labs,"['Hand Management', 'Modular Board', 'Press Your Luck']",42,2.8571428571428577,911,3
9,tMcdgHnruB,Dream Factory,2000,2.0,5.0,Rio Grande Games,"['Auction', 'Set Collection']",37,2.918918918918919,986,2
10,b7EIdXzESo,Starfarers of Catan,2000,3.0,4.0,Mayfair Games,['Trading'],25,3.24,1097,1
11,qSaQSFN5pf,La Citta,2000,2.0,5.0,Rio Grande Games,"['Card Drafting', 'Modular Board', 'Tile Placement']",26,3.23076923076923,1103,3
12,sedUGoL6oF,Babel,2000,2.0,2.0,Z-Man Games,"['Hand Management', 'Set Collection']",24,2.9861111111111107,1185,2
13,twr6ppVYWg,Hamsterrolle,2000,2.0,4.0,Lion Rampant Imports Ltd,['Partnerships'],21,3.1904761904761907,1188,1
16,HYS6BFRAJ4,Carolus Magnus,2000,2.0,4.0,Rio Grande Games,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Partnerships']",9,2.888888888888889,9999999,4
21,0DckWLfICA,Monza,2000,2.0,6.0,HABA,"['Dice Rolling', 'Roll / Spin and Move']",13,2.846153846153846,9999999,2
22,aOZpiq3nES,Star Wars the Queen's Gambit,2000,2.0,4.0,"Avalon Hill Games, Inc.",['Dice Rolling'],15,3.7333333333333334,9999999,1
