,id,name,year_published,min_players,max_players,primary_publisher,mechanics,num_user_ratings,average_user_rating,rank,num_mechs
0,oGVgRSAKwX,Carcassonne,2000,2.0,5.0,Hans im Glück,"[{'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}, {'id': 'fBOTEBUAmV', 'url': 'https://www.boardgameatlas.com/mechanic/fBOTEBUAmV/undefined'}]",548,3.436131386861317,14,2
1,d7vHFjxM6M,Blokus,2000,2.0,4.0,Mattel Games,"[{'id': '3te2oybNR4', 'url': 'https://www.boardgameatlas.com/mechanic/3te2oybNR4/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",162,3.0555555555555536,221,3
2,uw69CrJFCL,Citadels: Classic,2000,2.0,8.0,Hans im Glück,"[{'id': 'ZX3hYcF9H7', 'url': 'https://www.boardgameatlas.com/mechanic/ZX3hYcF9H7/undefined'}, {'id': 'yu3eas6v7A', 'url': 'https://www.boardgameatlas.com/mechanic/yu3eas6v7A/undefined'}, {'id': 'x3wVCq1HEP', 'url': 'https://www.boardgameatlas.com/mechanic/x3wVCq1HEP/undefined'}, {'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}]",133,3.30827067669173,228,4
3,PSVopYiYOv,Battle Line,2000,2.0,2.0,GMT Games,[],120,3.3522435897435905,246,0
4,JyMsRC64I4,Go,2000,2.0,2.0,John N. Hansen Co.,"[{'id': '3te2oybNR4', 'url': 'https://www.boardgameatlas.com/mechanic/3te2oybNR4/undefined'}]",82,3.329268292682928,375,1
5,zVhAqeqPxg,The Lord of the Rings,2000,2.0,5.0,Fantasy Flight Games,[],68,3.11764705882353,483,0
6,YD2fbRwJdz,Princes of Florence,2000,2.0,5.0,Rio Grande Games,"[{'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",64,3.253385416666667,487,1
7,6DNpI5e8Bd,Taj Mahal,2000,2.0,5.0,Z-Man Games,"[{'id': 'AZxlPpi5oq', 'url': 'https://www.boardgameatlas.com/mechanic/AZxlPpi5oq/undefined'}, {'id': 'iWODHwRGuU', 'url': 'https://www.boardgameatlas.com/mechanic/iWODHwRGuU/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}, {'id': 'ohABM4GjbC', 'url': 'https://www.boardgameatlas.com/mechanic/ohABM4GjbC/undefined'}]",35,3.3142857142857145,798,5
8,VNDvLYnE5o,Chrononauts,2000,1.0,6.0,Looney Labs,"[{'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'U3zhCQH7Et', 'url': 'https://www.boardgameatlas.com/mechanic/U3zhCQH7Et/undefined'}, {'id': 'hmipYN1R1I', 'url': 'https://www.boardgameatlas.com/mechanic/hmipYN1R1I/undefined'}]",42,2.8571428571428577,911,3
9,tMcdgHnruB,Dream Factory,2000,2.0,5.0,Rio Grande Games,"[{'id': 'AZxlPpi5oq', 'url': 'https://www.boardgameatlas.com/mechanic/AZxlPpi5oq/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",37,2.918918918918919,986,2
10,b7EIdXzESo,Starfarers of Catan,2000,3.0,4.0,Mayfair Games,"[{'id': 'AVY6EvSQTP', 'url': 'https://www.boardgameatlas.com/mechanic/AVY6EvSQTP/undefined'}]",25,3.24,1097,1
11,qSaQSFN5pf,La Citta,2000,2.0,5.0,Rio Grande Games,"[{'id': 'iWODHwRGuU', 'url': 'https://www.boardgameatlas.com/mechanic/iWODHwRGuU/undefined'}, {'id': 'U3zhCQH7Et', 'url': 'https://www.boardgameatlas.com/mechanic/U3zhCQH7Et/undefined'}, {'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",26,3.23076923076923,1103,3
12,sedUGoL6oF,Babel,2000,2.0,2.0,Z-Man Games,"[{'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",24,2.9861111111111107,1185,2
